Equipo_1,Equipo_2,Goles_Esperados_Equipo_1,Goles_Esperados_Equipo_2,Total_Goles_Esperados
France,Morocco,1.0925260143495468,0.8401702081311715,1.9326962224807183
Spain,Belgium,0.7732235071398179,1.1201248894872335,1.8933483966270515
Norway,England,0.9613716820430062,1.7828388592946045,2.7442105413376106
Argentina,Switzerland,0.9492084334883701,1.0023796482232012,1.9515880817115714
