Equipo_1,Equipo_2,Gol_E1_Original,Gol_E1_Invertido,Gol_E2_Original,Gol_E2_Invertido,Diferencia_E1,Diferencia_E2,Diferencia_Media
France,Morocco,1.0925260143495468,1.7639677761125307,0.8401702081311715,0.4888536048050697,0.671441761762984,0.3513166033261018,0.5113791825445428
Spain,Belgium,0.7732235071398179,1.2785854203899143,1.1201248894872335,0.9205971268831783,0.5053619132500964,0.19952776260405525,0.3524448379270758
Norway,England,0.9613716820430062,1.1529426404336012,1.7828388592946045,1.6212067477660441,0.19157095839059501,0.16163211152856038,0.1766015349595777
Argentina,Switzerland,0.9492084334883701,1.6413007471369534,1.0023796482232012,0.8615554403202051,0.6920923136485833,0.1408242079029961,0.4164582607757897
