Metodo,MAE,RMSE
Original Equipo 1,1.141409894732643,1.5918736958205164
Simetrizado Equipo 1,1.1408089358048294,1.5807291723100192
Original Equipo 2,0.8899239872769453,1.0582771169339922
Simetrizado Equipo 2,0.8784076736033417,1.0633199779468203
