Modelo,Accuracy,Precision,Recall,F1_Score
KNN,0.359375,0.32903079710144933,0.359375,0.33291903409090906
Árbol de Decisión,0.328125,0.3404356060606061,0.328125,0.3309848484848485
Regresión Logística,0.296875,0.3375919117647058,0.296875,0.3042228349673203
Random Forest,0.3125,0.2935474537037037,0.3125,0.29915787337662336
XGBoost,0.296875,0.2644886363636364,0.296875,0.27446933962264153
SVM,0.265625,0.2857044956140351,0.265625,0.2717174369747899
