Equipo_1,Equipo_2,Goles_Esperados_Equipo_1,Goles_Esperados_Equipo_2,Probabilidad_Equipo_1,Probabilidad_Empate,Probabilidad_Equipo_2,Marcador_1,Probabilidad_Marcador_1,Marcador_2,Probabilidad_Marcador_2,Marcador_3,Probabilidad_Marcador_3,Suma_Probabilidades,Resultado_Mas_Probable,Nivel_Confianza,Margen_Primera_Segunda_Probabilidad
France,Morocco,1.4282468952310388,0.6645119064681206,55.52488013827167,27.12991647767356,17.345203384054773,1-0,17.6169141653843,2-0,12.580651480130916,0-0,12.334642017572541,100.0,France,ALTA,28.39496366059811
Spain,Belgium,1.0259044637648662,1.020361008185206,34.93002505783432,30.427578402673923,34.642396539491735,1-1,13.526298950140351,1-0,13.256385574942698,0-1,13.184754943458879,99.99999999999999,Spain,BAJA,0.2876285183425864
Norway,England,1.0571571612383037,1.7020228035303244,23.525876710347134,24.00773329493002,52.46638999472284,1-1,11.397487008645935,0-1,10.781260749627295,1-2,9.699391395828004,100.0,England,ALTA,28.45865669979282
Argentina,Switzerland,1.2952545903126618,0.9319675442717033,44.893315059872805,28.29568712985808,26.810997810269114,1-0,13.966414165212537,1-1,13.016244711834657,0-0,10.7827559691112,100.0,Argentina,MEDIA,16.597627930014724
