Ruta_Relativa,Nombre_Archivo,Extension,Tamano_Bytes,Archivo_Vacio
Results/Predicciones_Cuartos/07_top3_spain_vs_belgium.png,07_top3_spain_vs_belgium.png,.png,104899,False
Results/Predicciones_Cuartos/08_top3_norway_vs_england.png,08_top3_norway_vs_england.png,.png,96844,False
Results/Predicciones_Cuartos/09_top3_argentina_vs_switzerland.png,09_top3_argentina_vs_switzerland.png,.png,103410,False
Results/Predicciones_Cuartos/10_mapa_calor_france_vs_morocco.png,10_mapa_calor_france_vs_morocco.png,.png,206834,False
Results/Predicciones_Cuartos/11_mapa_calor_spain_vs_belgium.png,11_mapa_calor_spain_vs_belgium.png,.png,196708,False
Results/Predicciones_Cuartos/12_mapa_calor_norway_vs_england.png,12_mapa_calor_norway_vs_england.png,.png,201933,False
Results/Predicciones_Cuartos/13_mapa_calor_argentina_vs_switzerland.png,13_mapa_calor_argentina_vs_switzerland.png,.png,191568,False
Results/Predicciones_Cuartos/14_goles_france_vs_morocco.png,14_goles_france_vs_morocco.png,.png,96227,False
Results/Predicciones_Cuartos/15_goles_spain_vs_belgium.png,15_goles_spain_vs_belgium.png,.png,93382,False
Results/Predicciones_Cuartos/16_goles_norway_vs_england.png,16_goles_norway_vs_england.png,.png,84565,False
Results/Predicciones_Cuartos/17_goles_argentina_vs_switzerland.png,17_goles_argentina_vs_switzerland.png,.png,100990,False
Results/Predicciones_Cuartos/cuadro_final_predicciones_cuartos_2026.csv,cuadro_final_predicciones_cuartos_2026.csv,.csv,447,False
Results/Predicciones_Cuartos/predicciones_completas_cuartos_2026.csv,predicciones_completas_cuartos_2026.csv,.csv,1008,False
Results/Predicciones_Cuartos/probabilidades_resultado_cuartos.csv,probabilidades_resultado_cuartos.csv,.csv,219,False
Results/Predicciones_Cuartos/top_3_marcadores_cuartos.csv,top_3_marcadores_cuartos.csv,.csv,308,False
Results/Predicciones_Cuartos/Matrices_Marcadores/matriz_argentina_vs_switzerland.csv,matriz_argentina_vs_switzerland.csv,.csv,2873,False
Results/Predicciones_Cuartos/Matrices_Marcadores/matriz_france_vs_morocco.csv,matriz_france_vs_morocco.csv,.csv,2794,False
Results/Predicciones_Cuartos/Matrices_Marcadores/matriz_norway_vs_england.csv,matriz_norway_vs_england.csv,.csv,2756,False
Results/Predicciones_Cuartos/Matrices_Marcadores/matriz_spain_vs_belgium.csv,matriz_spain_vs_belgium.csv,.csv,2782,False
Results/Presentacion_Final_Auditada/resumen_metodologico_final.txt,resumen_metodologico_final.txt,.txt,759,False
Results/Presentacion_Final_Auditada/Cuadros_Finales/01_probabilidades_definitivas.csv,01_probabilidades_definitivas.csv,.csv,310,False
Results/Presentacion_Final_Auditada/Cuadros_Finales/02_goles_esperados_definitivos.csv,02_goles_esperados_definitivos.csv,.csv,227,False
Results/Presentacion_Final_Auditada/Cuadros_Finales/03_top3_marcadores_definitivos.csv,03_top3_marcadores_definitivos.csv,.csv,306,False
Results/Presentacion_Final_Auditada/Cuadros_Finales/04_resumen_final_predicciones.csv,04_resumen_final_predicciones.csv,.csv,479,False
Results/Presentacion_Final_Auditada/Cuadros_Finales/05_resultados_finales_completos.csv,05_resultados_finales_completos.csv,.csv,1204,False
Results/Presentacion_Final_Auditada/Graficas_Finales/01_probabilidades_generales_definitivas.png,01_probabilidades_generales_definitivas.png,.png,148756,False
Results/Presentacion_Final_Auditada/Graficas_Finales/02_goles_esperados_generales.png,02_goles_esperados_generales.png,.png,145752,False
Results/Presentacion_Final_Auditada/Graficas_Finales/03_margen_prediccion_principal.png,03_margen_prediccion_principal.png,.png,142656,False
Results/Presentacion_Final_Auditada/Graficas_Finales/04_probabilidad_final_france_vs_morocco.png,04_probabilidad_final_france_vs_morocco.png,.png,103901,False
Results/Presentacion_Final_Auditada/Graficas_Finales/05_probabilidad_final_spain_vs_belgium.png,05_probabilidad_final_spain_vs_belgium.png,.png,103219,False
Results/Presentacion_Final_Auditada/Graficas_Finales/06_probabilidad_final_norway_vs_england.png,06_probabilidad_final_norway_vs_england.png,.png,103109,False
Results/Presentacion_Final_Auditada/Graficas_Finales/07_probabilidad_final_argentina_vs_switzerland.png,07_probabilidad_final_argentina_vs_switzerland.png,.png,108095,False
Results/Presentacion_Final_Auditada/Graficas_Finales/08_goles_finales_france_vs_morocco.png,08_goles_finales_france_vs_morocco.png,.png,95773,False
Results/Presentacion_Final_Auditada/Graficas_Finales/09_goles_finales_spain_vs_belgium.png,09_goles_finales_spain_vs_belgium.png,.png,94509,False
Results/Presentacion_Final_Auditada/Graficas_Finales/10_goles_finales_norway_vs_england.png,10_goles_finales_norway_vs_england.png,.png,82938,False
Results/Presentacion_Final_Auditada/Graficas_Finales/11_goles_finales_argentina_vs_switzerland.png,11_goles_finales_argentina_vs_switzerland.png,.png,101240,False
Results/Presentacion_Final_Auditada/Graficas_Finales/12_top3_final_france_vs_morocco.png,12_top3_final_france_vs_morocco.png,.png,93965,False
Results/Presentacion_Final_Auditada/Graficas_Finales/13_top3_final_spain_vs_belgium.png,13_top3_final_spain_vs_belgium.png,.png,101571,False
Results/Presentacion_Final_Auditada/Graficas_Finales/14_top3_final_norway_vs_england.png,14_top3_final_norway_vs_england.png,.png,97284,False
Results/Presentacion_Final_Auditada/Graficas_Finales/15_top3_final_argentina_vs_switzerland.png,15_top3_final_argentina_vs_switzerland.png,.png,107393,False
Results/Presentacion_Final_Auditada/Graficas_Finales/16_mapa_calor_final_france_vs_morocco.png,16_mapa_calor_final_france_vs_morocco.png,.png,206825,False
Results/Presentacion_Final_Auditada/Graficas_Finales/17_mapa_calor_final_spain_vs_belgium.png,17_mapa_calor_final_spain_vs_belgium.png,.png,201580,False
Results/Presentacion_Final_Auditada/Graficas_Finales/18_mapa_calor_final_norway_vs_england.png,18_mapa_calor_final_norway_vs_england.png,.png,209302,False
Results/Presentacion_Final_Auditada/Graficas_Finales/19_mapa_calor_final_argentina_vs_switzerland.png,19_mapa_calor_final_argentina_vs_switzerland.png,.png,212358,False
Results/Presentacion_Final_Auditada/Matrices_Finales/matriz_final_argentina_vs_switzerland.csv,matriz_final_argentina_vs_switzerland.csv,.csv,2865,False
Results/Presentacion_Final_Auditada/Matrices_Finales/matriz_final_france_vs_morocco.csv,matriz_final_france_vs_morocco.csv,.csv,2805,False
Results/Presentacion_Final_Auditada/Matrices_Finales/matriz_final_norway_vs_england.csv,matriz_final_norway_vs_england.csv,.csv,2763,False
Results/Presentacion_Final_Auditada/Matrices_Finales/matriz_final_spain_vs_belgium.csv,matriz_final_spain_vs_belgium.csv,.csv,2775,False
Src/__init__.py,__init__.py,.py,0,True
Src/data_processing.py,data_processing.py,.py,1526,False
Src/evaluate.py,evaluate.py,.py,6991,False
Src/features.py,features.py,.py,6789,False
Src/predict.py,predict.py,.py,5757,False
Src/train_models.py,train_models.py,.py,5800,False
