Equipo_1,Equipo_2,Goles_Esperados_Equipo_1,Goles_Esperados_Equipo_2,Probabilidad_Equipo_1,Probabilidad_Empate,Probabilidad_Equipo_2,Suma_Probabilidades,Marcador_1,Probabilidad_Marcador_1,Marcador_2,Probabilidad_Marcador_2,Marcador_3,Probabilidad_Marcador_3
France,Morocco,1.0925260143495468,0.8401702081311715,41.10994788162324,31.141775843943588,27.748276274433177,100.0,1-0,15.81512007386755,0-0,14.475737754659637,1-1,13.287392724080767
Spain,Belgium,0.7732235071398179,1.1201248894872335,25.16187706788349,31.207999200985682,43.63012373113081,99.99999999999999,0-1,16.865363284597827,0-0,15.056681128046703,1-1,13.040695348103851
Norway,England,0.9613716820430062,1.7828388592946045,20.13074825247659,23.17549840636351,56.693753341159905,100.0,0-1,11.463515943161417,1-1,11.020699604403909,0-2,10.218800843805708
Argentina,Switzerland,0.9492084334883701,1.0023796482232012,32.945653570756676,31.296007182327028,35.75833924691629,100.0,0-1,14.238633536206155,0-0,14.204831035272193,1-1,13.515431033917217
