Modelo,MAE,RMSE
Regresión Lineal,1.141409894732643,1.5918736958205164
Ridge,1.1540779661193383,1.5924703115142977
Random Forest,1.15532373849581,1.57451064321347
Gradient Boosting,1.1575126998237573,1.5613996678280941
XGBoost,1.1733571644872427,1.5743571186184289
Poisson,1.1926195628736989,1.6070613994264416
