Modelo,MAE,RMSE
Poisson,0.8899239872769453,1.0582771169339922
Random Forest,0.8965651191483829,1.072068770055916
Gradient Boosting,0.914576338377179,1.111469112464731
XGBoost,0.9345157963689417,1.1362847490483365
Ridge,0.9441857937219695,1.1013304119897718
Regresión Lineal,0.9772622407481427,1.1316226096981832
