,England_0,England_1,England_2,England_3,England_4,England_5,England_6,England_7,England_8,England_9,England_10
Norway_0,6.4299226390527835,11.463515943161417,10.218800843805708,6.072825079909769,2.7067171345404994,0.9651280977154688,0.2867779794673697,0.07303984654063099,0.016277284586193944,0.003224419498229295,0.0005748620380110397
Norway_1,6.181545542912579,11.020699604403909,9.824065755671983,5.838242061825808,2.602161204447826,0.9278468226876873,0.2757002284934399,0.07021844012492945,0.015648520461721965,0.0030998655966249632,0.0005526560844253437
Norway_2,2.9713814181076574,5.29749425798824,4.722289310015737,2.8063602955758533,1.2508220470335307,0.44600283030276044,0.13252519620318975,0.03375300994666977,0.007522022218885024,0.0014900615013672942,0.0002656539547376472
Norway_3,0.9522006506391638,1.697620321805107,1.5132917390211784,0.899318439258822,0.40083496509770056,0.1429248303880354,0.04246865692897998,0.01081639598214808,0.0024104863843114536,0.00047750097730566755,8.51307297691695e-05
Norway_4,0.22885468528685446,0.40801102606104134,0.363708956141144,0.21614482016063621,0.0963378461544065,0.03435097114896424,0.010207041036480211,0.002599644199750228,0.0005793433374568166,0.00011476397943238224,2.0460568217933776e-05
Norway_5,0.04400288274752921,0.07845004928327921,0.0699318981879035,0.04155910186454277,0.018523295440372425,0.006604810182658105,0.001962552041984594,0.0004998448634054443,0.00011139285576225374,2.2066167988971653e-05,3.934042176646133e-06
Norway_6,0.00705052090028889,0.01256994263930381,0.01120509109822751,0.006658957277285353,0.002967961949081731,0.0010582795791461328,0.0003144569929499443,8.008944951544144e-05,1.7848322851955306e-05,3.5356315059668685e-06,6.303461240984037e-07
Norway_7,0.0009683101624557283,0.001726340985475944,0.001538893896649728,0.0009145332797594766,0.0004076163673183347,0.00014534285986792607,4.31871497489248e-05,1.099938982779405e-05,2.451267451690128e-06,4.855794297108022e-07,8.657098765625312e-08
Norway_8,0.00011636324620242501,0.00020745691712334863,0.00018493112673848315,0.00010990079968083441,4.898385408463589e-05,1.7466063708021126e-05,5.189862849595879e-06,1.3218127375241373e-06,2.9457238914607645e-07,5.83527891383197e-08,1.0403362002402047e-08
Norway_9,1.2429814414401089e-05,2.216035615181447e-05,1.9754172041631542e-05,1.1739501849670582e-05,5.2324100215884e-06,1.8657087828500637e-06,5.543763530320555e-07,1.4119481497993896e-07,3.1465950359643396e-08,6.233191005089698e-09,1.1112775141279505e-09
Norway_10,1.1949671591055178e-06,2.1304338868341956e-06,1.899110160303024e-06,1.128602463956479e-06,5.030290823593121e-07,1.7936395907709757e-07,5.3296172699929455e-08,1.3574069677301494e-08,3.02504736243321e-09,5.992413321058419e-10,1.0683507329737583e-10
