Equipo_1,Equipo_2,Marcador_1,Probabilidad_Marcador_1,Marcador_2,Probabilidad_Marcador_2,Marcador_3,Probabilidad_Marcador_3
France,Morocco,1-0,15.82,0-0,14.48,1-1,13.29
Spain,Belgium,0-1,16.87,0-0,15.06,1-1,13.04
Norway,England,0-1,11.46,1-1,11.02,0-2,10.22
Argentina,Switzerland,0-1,14.24,0-0,14.2,1-1,13.52
