,England_0,England_1,England_2,England_3,England_4,England_5,England_6,England_7,England_8,England_9,England_10
Norway_0,6.334380906803877,10.781260749627295,9.174975823336046,5.205339357719121,2.2149015717379594,0.7539625965346326,0.21387692205181308,0.05200334264015194,0.011063859379167432,0.0020923267731550923,0.00035611878803469863
Norway_1,6.696436137638899,11.397487008645935,9.699391395828004,5.50286177868836,2.341499058000758,0.7970569582324126,0.2261015197706806,0.054975706080365845,0.011696238173620423,0.0022119182318915374,0.0003764735270223872
Norway_2,3.5395927088399644,6.024467505655292,5.126890536876381,2.9086948683224754,1.2376662485991219,0.42130723565510736,0.11951242039621948,0.029058980688495464,0.006182380972395825,0.001169172599458853,0.00019899584255417938
Norway_3,1.2473019266723515,2.1229363220836506,1.8066430153145856,1.0249825366347365,0.43613591264316953,0.14846265375143677,0.042114470359595375,0.010239969844376182,0.0021785827728238913,0.0004119997287471764,7.012329333760023e-05
Norway_4,0.32964854100200247,0.5610693339359094,0.4774764003602442,0.2708919071869034,0.11526605083098249,0.03923708939744353,0.011130403483101134,0.0027063143629616404,0.0005757760949102944,0.00010888711591832904,1.8532835430364578e-05
Norway_5,0.06969806316240511,0.11862769286431037,0.1009535191926239,0.05727506392082738,0.024370866216726288,0.00829595400853099,0.0023533171499264247,0.0005721999218733952,0.00012173716440084858,2.3022158871929366e-05,3.918423938652175e-06
Norway_6,0.012280301099429363,0.02090135250544729,0.017787289294448488,0.010091457330714045,0.0042939726244321415,0.0014616878649036913,0.0004146376796182725,0.00010081754084474295,2.14492191892003e-05,4.056340019771014e-06,6.903983212522912e-07
Norway_7,0.001854601178489195,0.0031565734972428235,0.0026862800366633756,0.0015240366263564468,0.0006484862728685244,0.00022074768483972335,6.261959890395574e-05,1.5225712183207885e-05,3.2393136669761626e-06,6.125984143312071e-07,1.0426564705982322e-07
Norway_8,0.0002450756146351062,0.00041712428469816093,0.0003549775222312725,0.0002013932791927728,8.569398841596215e-05,2.91706244818862e-05,8.27484467689838e-06,2.0119963336789377e-06,4.2805795506762e-07,8.095160008418312e-08,1.3778146932554699e-08
Norway_9,2.87870490062646e-05,4.899621385500732e-05,4.169633663393544e-05,2.3656038591544984e-05,1.0065779281000738e-05,3.426437174313265e-06,9.719790342575312e-07,2.3633292583710008e-07,5.028050362497317e-08,9.50872930474372e-09,1.6184074109270853e-09
Norway_10,3.0432435007890613e-06,5.179669835038438e-06,4.407958086996787e-06,2.5008150603581453e-06,1.0641110650354072e-06,3.6222825963584055e-07,1.0275345966388394e-07,2.4984104498509125e-08,5.315439447780886e-09,1.0052221278786336e-09,1.7109109842627104e-10
